BaseDateTime,MMSI,LAT,LON,SOG,Heading
319260,369140000.0,32.61964,-117.24532,10.6,235
319260,366888800.0,32.67739,-117.23047,7.8,181
319260,367353080.0,32.67803,-117.2296,7.7,176
319320,366764730.0,32.67444,-117.22882,7.5,171
319320,367006770.0,32.63234,-117.25943,10.4,323
319320,367353080.0,32.67558,-117.22913,7.7,176
319320,369140000.0,32.61833,-117.24858,10.5,261
319320,366888800.0,32.67516,-117.23023,7.9,173
319380,367006770.0,32.63485,-117.26194,10.5,322
319380,369140000.0,32.61797,-117.25224,10.6,271
319380,366888800.0,32.67258,-117.22987,7.9,174
319380,366764730.0,32.67206,-117.22847,6.3,148
319380,367353080.0,32.67305,-117.22882,7.8,175
319440,366888800.0,32.67275,-117.22936,8.6,356
319440,367006770.0,32.63763,-117.26451,10.6,325
319440,369970764.0,32.69816,-117.23241,8.5,194
319440,369140000.0,32.61807,-117.2562,10.8,274
319440,367353080.0,32.67038,-117.22852,7.9,175
319440,366764730.0,32.673575,-117.22864,8.7,250
319500,366888800.0,32.676,-117.22954,10.3,359
319500,367006770.0,32.638980000000004,-117.265795,10.6,323
319500,369970764.0,32.69507,-117.23246,8.5,176
319500,369140000.0,32.6182,-117.26045,11.1,273
319500,367353080.0,32.66783,-117.22817,8.0,175
319500,366764730.0,32.67509,-117.22881,11.1,353
319560,366888800.0,32.67932,-117.22956,10.7,358
319560,366764730.0,32.6786,-117.22948,11.0,354
319560,367353080.0,32.66518,-117.22783,8.1,175
319560,369970764.0,32.69233,-117.23225,8.4,180
319560,369140000.0,32.618265,-117.262615,11.15,273
319560,367006770.0,32.64033,-117.26708,10.6,322
319620,366888800.0,32.68272,-117.22981,10.4,353
319620,369140000.0,32.61833,-117.26478,11.2,273
319620,369970764.0,32.68962,-117.23209,8.3,174
319620,366764730.0,32.68216,-117.23005,11.0,354
319620,367006770.0,32.64305,-117.26961,10.7,324
319620,367353080.0,32.66388,-117.227655,8.149999999999999,175
319680,369140000.0,32.61845,-117.26897,11.3,273
319680,367006770.0,32.64576,-117.27221,10.7,324
319680,367353080.0,32.66258,-117.22748,8.2,175
319680,369970764.0,32.68821,-117.231935,8.8,172
319680,366888800.0,32.684445,-117.230005,10.5,354
319680,366764730.0,32.68569,-117.23057,11.2,356
319740,366764730.0,32.68927,-117.2313,11.1,350
319740,369140000.0,32.6186,-117.27338,11.4,273
319740,367353080.0,32.65997,-117.22707,8.3,175
319740,366888800.0,32.68617,-117.2302,10.6,356
319740,367006770.0,32.64848,-117.27469,10.7,322
319740,369970764.0,32.6868,-117.23178,9.3,171
319800,366888800.0,32.68962,-117.23068,10.8,351
319800,369970764.0,32.68384,-117.23113,9.4,175
319800,366764730.0,32.69291,-117.23192,11.0,1
319800,367353080.0,32.65715,-117.22675,9.0,175
319800,367006770.0,32.65125,-117.2773,10.8,326
319800,369140000.0,32.61878,-117.27771,11.4,273
319860,369140000.0,32.61898,-117.28204,11.3,273
319860,367353080.0,32.65455,-117.22642,9.6,175
319860,367006770.0,32.654,-117.27974,10.7,324
319860,366764730.0,32.694630000000004,-117.232155,11.0,179
319860,366888800.0,32.69306,-117.23142,10.5,357
319860,369970764.0,32.68076,-117.23076,9.4,175
319920,369140000.0,32.61918,-117.28642,11.3,273
319920,366764730.0,32.69635,-117.23239,11.0,357
319920,369970764.0,32.67771,-117.23034,9.5,175
319920,366888800.0,32.69619,-117.23122,9.2,10
319920,367006770.0,32.65542000000001,-117.280995,10.7,325
319920,367353080.0,32.65133,-117.22595,10.2,175
319980,369140000.0,32.619240000000005,-117.28857,11.25,272
319980,366888800.0,32.69912,-117.23054,9.1,16
319980,366764730.0,32.69942,-117.23114,11.6,24
319980,367353080.0,32.64787,-117.22547,11.3,187
319980,369970764.0,32.67472,-117.22983,9.5,173
319980,367006770.0,32.65684,-117.28225,10.7,327
320040,367006770.0,32.65964,-117.28467,10.6,323
320040,369970764.0,32.67161,-117.22941,9.5,173
320040,367353080.0,32.64415,-117.22603,12.0,190
320040,369140000.0,32.6193,-117.29072,11.2,271
320100,369140000.0,32.61932,-117.295,11.2,270
320100,369970764.0,32.670105,-117.229175,9.5,173
320100,367353080.0,32.64062,-117.2267,12.5,191
320100,367006770.0,32.66239,-117.28716,10.6,326
320160,367353080.0,32.638585,-117.22709,12.75,191
320160,367006770.0,32.66515,-117.28959,10.5,324
320160,369970764.0,32.6686,-117.22894,9.5,173
320160,369140000.0,32.61933,-117.29915,11.1,270
320220,367006770.0,32.66789,-117.29192,10.5,327
320220,367353080.0,32.63655,-117.22748,13.0,191
320220,369970764.0,32.66551,-117.2285,9.6,174
320280,369970764.0,32.66237,-117.22806,9.8,174
320280,367006770.0,32.67068,-117.2944,10.6,324
320280,367353080.0,32.63292,-117.2282,13.3,191
320340,367006770.0,32.672079999999994,-117.295585,10.6,324
320340,369970764.0,32.65918,-117.22767,9.7,175
320340,367353080.0,32.62853,-117.22905,13.5,191
320400,367006770.0,32.67348,-117.29677,10.6,324
320400,369970764.0,32.65607,-117.22723,9.8,174
320400,367353080.0,32.62423,-117.22998,13.6,197
320460,367353080.0,32.62,-117.23158,13.6,209
320460,367006770.0,32.67624,-117.29919,10.6,326
320460,369970764.0,32.65295,-117.22675,9.8,174
328200,338219948.0,32.61308,-117.29187,4.7,505
328200,367463260.0,32.697725000000005,-117.23319,2.1,295
328200,369970764.0,32.62695,-117.20189,10.1,217
328320,308322000.0,32.60193,-117.24652,11.7,23
328320,369970764.0,32.62205,-117.204265,10.1,191
328320,338219948.0,32.60959,-117.29253,5.2,505
328380,308322000.0,32.605,-117.24513,11.7,20
328380,369970764.0,32.62042,-117.20457,10.1,189
328380,338219948.0,32.60823,-117.29286,4.9,505
328440,308322000.0,32.6077,-117.24397,11.6,20
328440,369970764.0,32.61719,-117.20518,10.1,192
328440,338219948.0,32.607385,-117.292985,4.7,505
328500,369970764.0,32.6159,-117.20707,9.4,273
328500,308322000.0,32.61162,-117.24227,11.8,20
328500,338219948.0,32.60654,-117.29311,4.5,505
328560,308322000.0,32.61417,-117.24114,9.9,20
328560,367463260.0,32.69256,-117.23232,6.1,166
328560,338219948.0,32.60479,-117.29372,3.5,505
328560,369970764.0,32.61718,-117.20944,9.8,345
328620,367463260.0,32.69078,-117.23196,6.1,171
328620,338219948.0,32.603725,-117.293835,4.5,505
328620,369970764.0,32.62035,-117.2105,10.4,344
328620,308322000.0,32.61723,-117.23978,8.4,20
328680,369970764.0,32.6235,-117.21161,10.4,345
328680,338219948.0,32.60266,-117.29395,5.5,505
328680,308322000.0,32.61894,-117.23897,7.8,20
328680,367463260.0,32.68955,-117.231725,6.1,168
328740,338219948.0,32.60046,-117.29393,5.6,505
328740,308322000.0,32.62122,-117.23793,9.4,20
328740,367463260.0,32.68832,-117.23149,6.1,166
328740,369970764.0,32.62681,-117.21275,10.5,345
328800,367463260.0,32.68575,-117.23103,6.0,166
328800,368798000.0,32.64083,-117.29817,7.1,113
328800,308322000.0,32.62423,-117.23657,10.4,20
